date,text,hash_tags
2020-09-01,Biden will also raise your taxes like never before. Sad! Dan Scavino11.86.2,
2020-09-01,I will be interviewed on  tonight at 10:00 P.M. on . Enjoy!11.17.2,
2020-09-01,"Kimberly Klacik is really working hard to help the people of Baltimore. She is running for Congress as a Republican, & if she wins she will be an inspiration to all. She is strong on inner city rebuilding, healthcare, our Military & Vets. She has my Complete & Total Endorsement!4.4312.6",
2020-09-01,"People are tired of watching the highly political . Basketball ratings are WAY down, and they won’t be coming back. I hope football and baseball are watching and learning because the same thing will be happening to them. Stand tall for our Country and our Flag!!!3.95.921.2",
2020-09-01,"Good luck to Sean Compton, a winner at everything he does! Los Angeles TimesHow a new nightly three-hour news program might shake up media https://latimes.com/entertainment-arts/business/story/2020-08-31/wgn-americas-newsnation-looks-for-viewers-who-want-their-news-served-up-opinion-free…  2.87.93.4",
2020-09-01,"My son, Donald, just wrote a really important new book, “Liberal Privilege”, talking, with great knowledge, of our world today. Lets make him a number one bestseller, again! 2.32.713",
2020-09-02,True! Andrew Pollackwill always care for the forgotten Men and Women of Wisconsin! .51.78,['#Fixit5']
2020-09-02,"The Beauty Parlor owner must really dislike Crazy Nancy Pelosi. Turning her in, on tape, is a really big deal. She probably treats him like she treats everyone else...And she strongly supported a Kennedy who just lost in, of all places, Massachusetts!1.32.911.4",
2020-09-02,"Joe Biden is a Low Energy Candidate the likes of which we have never seen before. The last thing our country needs is a Low Energy Individual, especially when surrounded by High Energy Chess Players scattered all over the world. He’s back in his basement now - no schedule!1.52.28.7",
2020-09-02,"Joe Biden is not on the side of Law Enforcement, and that was spectacularly evident on my very successful trip yesterday to Kenosha. We solved the problem quickly, and it was very much appreciated by the people of Wisconsin. Joe Biden wouldn’t know where to begin - a bad record!1.12.18.6",
2020-09-02,"Crazy Nancy Pelosi is being decimated for having a beauty parlor opened, when all others are closed, and for not wearing a Mask - despite constantly lecturing everyone else. We will almost certainly take back the House, and send Nancy packing!2.55.823.4",
2020-09-02,"Like Fredo at Fake News , the very untalented Joy Reid should be fired for this horrible use of the words “Muslim Terrorists”. Such xenophobia and racism on MSDNC. Anyone else would be gone, and fast!!! TheBlazeMSNBC's Joy Reid compares President Trump, supporters to Muslim terrorists — and even those on the left are destroying her for Islamophobia https://bit.ly/32O6ad64.11.44.6",
2020-09-02,"Mike Pence was never put on standby, & there were no mini-strokes. This is just more Fake News by , a phony story. The reason for the visit to Walter Reed, together with the full press pool, was to complete my yearly physical. Short visit, then returned (with press) to W.H... CNNVice President Mike Pence was put on standby to temporarily assume the powers of the presidency during President Trump's unannounced visit to Walter Reed hospital in November 2019, according to New York Times reporter Michael Schmidt's forthcoming book https://cnn.it/34StEQS3.23.511.5",
2020-09-02,"Will soon be heading to Wilmington, North Carolina, and then will be going to Battleship North Carolina. Look forward to seeing all of my friends!1.21.78.9",
2020-09-02,"Some things just don’t get any crazier. Just call me Kate, problem over! TheBlazeOregon sheriffs unload on Dem Gov. Kate Brown for trying to use their deputies to quell Portland violence https://bit.ly/2DiQS7h4.51.24.2",
2020-09-02,"The Unsolicited Ballots Scam is their only hope. Will be the most corrupt election in history, by far! Glenn BeckThe Left is already using Big Tech to paint BLM as ""mostly peaceful"" and not the Marxist movement that it is. But tomorrow night, we're exposing the power Big Tech has to STEAL the election.4.91.54.2",
2020-09-02,"We had FAR more people (many millions) watching us at the RNC than did Sleepy Joe and the DNC, and yet an ad just ran saying the opposite. This is what we’re up against. Lies. But we will WIN!3.2312.7",
2020-09-02,"This is the NEW and very sick Democrat Party. We will win on November 3rd, and MAKE AMERICA GREAT AGAIN! TheBlazeVIDEO: BLM protesters in Oakland channel Iran, shout 'Death to America!' https://bit.ly/2YV435Q5.51.86",
2020-09-02,"Seriously, is this what our great USA wants as its leader? Trump War Room - Text TRUMP to 88022Joe Biden: ""Covid has taken this year, just since the outbreak, has taken more than 100 year, look, here's, the lives, it's just, when you think about it.""2.83.110.8",
2020-09-02,"Great honor, but think we are much higher than 46%. Hidden vote! Political PollsAmong Black Voters:Biden 66% (-23 vs 2016 results)Trump 28% (+20)Among Hispanic Voters:Biden 56% (-10)Trump 41% (+13) twitter.com/PpollingNumber…  7.91.35.9",
2020-09-02,"Heading to Kenosha, Wisconsin, to thank Law Enforcement and the National Guard for a job well done. The Violence stopped six days ago, the moment the Guard entered the picture. Thank you!1.52.613.1",
2020-09-02,"I was saddened to learn of the passing of India's former President, Pranab Mukherjee. I send my condolences to his family and the people of India as they grieve the loss of a great leader.8.12.718.6",
2020-09-02,"Had a very productive conversation with Kevin Warren, Commissioner of the Big Ten Conference, about immediately starting up Big Ten football. Would be good (great!) for everyone - Players, Fans, Country. On the one yard line!1.82.813.2",
2020-09-02,"It never ends! Now they are trying to say that your favorite President, me, went to Walter Reed Medical Center, having suffered a series of mini-strokes. Never happened to THIS candidate - FAKE NEWS. Perhaps they are referring to another candidate from another Party!6.35.418",
2020-09-02,"Drudge didn’t support me in 2016, and I hear he doesn’t support me now. Maybe that’s why he is doing poorly. His Fake News report on Mini-Strokes is incorrect. Possibly thinking about himself, or the other party’s “candidate”. Mark R. LevinDrudge at it again.  Promoting crackpot New York Times “reporter” and his book trashing Trump.81.34.3",
2020-09-03,"The Dow Jones Industrial just closed above 29,000! You are so lucky to have me as your PresidentWith Joe Hiden’ it would crash6.27.129.9",
2020-09-03,". should get his puppet New York prosecutors, who have been illegally after me and my family for years, to investigate his incompetent handling of the China Virus, and all of the deaths caused by this incompetence. It is at minimum a Nursing Home Scandal - 11,000 DEAD!2.43.511.3",
2020-09-03,"My Administration will do everything in its power to prevent weak mayors and lawless cities from taking Federal dollars while they let anarchists harm people, burn buildings, and ruin lives and businesses. We’re putting them on notice today. 3.1518.6",
2020-09-03,"Governors Andrew Cuomo of New York has the worst record on death and China Virus. 11,000 people alone died in Nursing Homes because of his incompetence!3.44.617.4",
2020-09-03,"This Tweet violated the Twitter Rules about civic and election integrity. However, Twitter has determined that it may be in the public’s interest for the Tweet to remain accessible.  ",
2020-09-03,"Based on the massive number of Unsolicited & Solicited Ballots that will be sent to potential Voters for the upcoming 2020 Election, & in order for you to MAKE SURE YOUR VOTE COUNTS & IS COUNTED, SIGN & MAIL IN your Ballot as EARLY as possible. On Election Day, or Early Voting,..1.12.37.4",
2020-09-03,"Mayor Wheeler just got harassed out of his own home in Portland by so-called “friendly protesters”. The Anarchists, Agitators and Looters treat him HORRIBLY, even though he is so nice and respectful to them. Criminals only understand strength!1.43.312.2",
2020-09-03,"When a Kennedy loses a Democrat Primary in Massachusetts, by a lot, it just shows how far LEFT that party has gone. Joe Hiden’ will never be able to hold them back. Life, 2nd A, Energy, Religion, Jobs and the Economy, would be totally obliterated!2.23.613.4",
2020-09-03,Will be landing shortly in the Great State of North Carolina. See you soon!11.712.9,
