date,text,hash_tags
2020-09-01,Today’s press conference made it clear: we are all less safe because Donald Trump has failed at his job.We need a President who will stop violence — not incite it.5.71.54.4,
2020-09-01,"The simple truth is Donald Trump failed to protect America. So now, he’s trying to scare America.25.729.4",
2020-09-02,Joe Haven't you been in government for like 47 years. Why haven't you done anything before this? Especially when you were the VP4753,
2020-09-02,"When you're elected, the biggest threat to the nation's security,  will be out of office ... and headed to prison, where he will earn a bachelor's degree in business ethics from Trump University.12",
2020-09-02,Whoever is writing these tweets should go get Joe another pudding cup.122,
2020-09-02,"Not to mention he's crazy. Watch the documentary ""Unfit"". You'll understand that Trump is dangerous because he IS psychologically pathological. In regular parlance, crazy.  cc: 13",
2020-09-02,"What did you mean when you said you didn't want your children to live in a ""racial jungle""?",
2020-09-02,If I am elected President it will be in another countryLike ChinaOkay  wanna play let's pin the tail on the Donkey?1,['#JoeBiden']
2020-09-02,The redlining you are talking about is most prominent in Big Cities run by democrats. Thanks for pointing out that after 47 in DC you haven't improved one thing for Black Americans.Demo don't care about black votersThey care about black votesGO BLEXIT11,
2020-09-02,You have always been a racist politician! 47 years of your disgusting racism!Joe Biden Being a Racist - Blacks Must Be Socialized or Become...Joe Biden talks about Blacks becoming predators unless they are socialized. Speaks of taking blacks off the streets to protect his family. youtube.com36,
2020-09-02,Simple truth:  Sniffy Joe can't order breakfast on his own.13,
2020-09-02,Go back to basement! We already have one and we will keep him another 8 years!13,
2020-09-02,We need a president who will lower the temperature and bring the country together — not one who raises it and tears us further apart.6.214.8,
2020-09-02,You can’t even write your own tweets... how are you going to lead a country?12,
2020-09-02,"Together, we’re going to build back better than before and set our nation on a new path.4.27.53.4",
2020-09-02,"For many years, Biden's 1994 crime bill and Heels-Up Harris's prosecuting incarcerated and institutionalized massive numbers of POC.3",
2020-09-03,"We’re just over two months from Election Day. But in many states, you don’t have to wait until November to make your voice heard.Head to http://IWillVote.com and make a plan to vote early today.I Will VoteBe a voter in the 2020 election.iwillvote.com2.672",
2020-09-03,"They're rooting for chaos and violence because they think it helps them win a second term.Now ask yourself, is that really who you think should be running the country?8.11.84.5",
2020-09-03,"So this video is all Democrats encouraging violence. Please show us where the Republicans are doing this. Also, why when you go to ANTIFA dot com does it lead straight to your website? DebraNeed PROOF of who started the violence in our country! R/T this until election. https://twitter.com/Ambitloka/status/1300388435371401222/video/1…  2",
2020-09-03,I dunno Joe...at least they aren't rooting for a virus.15,
2020-09-03,George Orwell wrote the book 1984. We’re living it. Democrats are simultaneously attacking our country and turning around & blaming Trump. Your party leaders are on tape Joe. We may have a short memory span but come on. No one w/ a functioning brain believes what you’re saying.12,
2020-09-03,Nice piece of rebranding. Too bad it is based on a false premise.8,
2020-09-03,Voting for you in person in Virginia Joe.,['#BidenHarrisLandslide202016']
2020-09-03,"If we give Biden another 47 years in Government, our country may never recover.18",
2020-09-03,Denounce your white supremacist supporters or I'm voting Kanye15113,
2020-09-03,And your campaign staff bails them out so they can loot and riot again.3254,
2020-09-03,"Say David Dorn's name. You can't do it, can you?242",
2020-09-03,Point counter point.1413,
2020-09-03,Thank GOD for  -  - it’s time for some accountability for you.       ,"['#QuidProJoe', '#Burisma', '#Ukraine', '#MoneyLaundering', '#HunterBiden', '#JoeChina', '#Latvia17']"
