date,text,hash_tags
2020-09-01,"People are tired of watching the highly political . Basketball ratings are WAY down, and they won’t be coming back. I hope football and baseball are watching and learning because the same thing will be happening to them. Stand tall for our Country and our Flag!!!3.95.921.2",
2020-09-02,"We catch them all! TheBlazeAntifa 'commander' cried in 'fetal position' after being caught with flamethrower, smoke grenades on way to protest https://bit.ly/2YZrv2a72.711.1",
2020-09-02,You don't know what a productive anything isThanks for nothing1,
2020-09-02,Imagine boycotting every sport and business that stands by their black employees and permits peaceful protests.1,
2020-09-02," You like TV, right? There’s a casting call for the revised “I’ve fallen and I can’t get up” commercials. You can test for the part of . You’d be perfect. One take. Guaranteed. Believe me.1",['#Strokeahontas']
2020-09-02,"I don’t really want football back. I’m sooo disheartened by the NFL & NBA allowing terrorist organization, BLM, to takeover the game!2",
2020-09-02,Drudge sucks2,
2020-09-02,I’d have to double check if you said fire was hot4,
2020-09-02,"It's been 60 years since this country has seen this kind of violence, civil unrest, hatred and division. 60 years..Until  you came along.13",
2020-09-02,"No soup for you, Donald!Antifa Anti- against Fa- Fascism Thank you for coming to my Ted talk14",
2020-09-02,"Whatever you say, ",['#Strokeahontas11']
2020-09-02,"Trump is not with Kenosha, but with out-of-state killers, imported antagonists, and dirty cops. Don't let  attack your city.  kills.27","['#TrumpGestapo', '#TrumpVirus']"
2020-09-02,"1. People watch  we don't care what the ratings are. 2. Same with Football and Baseball (we LOVE you)3. Stand for what you believe. People fought and died so we can be free away from tyranny and fascisms. Over 4 family members died in WWII, still in those ships at sea.1",
2020-09-02,Thank you for coming!!12,
2020-09-02,"Heading to Kenosha, Wisconsin, to thank Law Enforcement and the National Guard for a job well done. The Violence stopped six days ago, the moment the Guard entered the picture. Thank you!1.52.613.1",
2020-09-02,Don’t you know it’s not polite to show up at a party you to which you haven’t been invited? Go golf. It’s the only time we’re really safe from you.2,
2020-09-02,There is something wrong with you.2,
2020-09-02,"The article headline literally, ""Trump denies mini-strokes..."" the fact you've felt it necessary to reply gives the article credence.1",
2020-09-02,trumps presidency is what caused the destruction in Kenosha. Period.3,
2020-09-02,"if someone has diabetes and was shot multiple times in the chest with an ar 15, do we go back and say they died from diabetes? no. this is every bit as nonsensical as my example",
2020-09-02,You????????? Favorite???? You ARE unwell!  The FAVORITE President of the USA is !12,
2020-09-03,They’re probably going to give him the debate questions ahead of time also13,
2020-09-03,"Governors Andrew Cuomo of New York has the worst record on death and China Virus. 11,000 people alone died in Nursing Homes because of his incompetence!3.44.617.4",
2020-09-03,Is that why you had a wall built around the White House? Did Mexico pay for that?9,
2020-09-03,"Imagine how high it would be if Hillary had won. Everyone is saying it would be over 30,000!. And we wouldn’t have a pandemic killing 100s of thousands of us. You are a failure.1",
2020-09-03,"Let’s start with MEXICO didn’t pay for the wall, Hillary didn’t go to prison and after inheriting a great economy and a much lowered national deficit from OBama, we’re now in a recession, and the national deficit has tripled1",
2020-09-03,"Promised to lock up Hillary, better healthcare, still no plan, drain the swamp yet 13 of his workers and cabinet members now in prison, mexico no pay, no one is winning, so busy he wont have time for golf, promised trade wars would be won, promised we would all be so rich.1",
2020-09-03,"Trump supports & encourages domestic terrorists... he’s a terrorist-sympathizer... & a POS!! ... WE will defeat Trump in November! Don’t let his bots and “pro-Trumper/foreign interference accounts convince you otherwise… Trump is going to lose, if we vote!! Oh yea, Fuck Trump!!1",
2020-09-03,"Breitbart again?  You told that lie about Hillary!  I’d ask what the fuck is wrong with you, but you’ll just do or say something more stupid and make me guess again.1",
2020-09-03,You are the biggest lier on the planet!11,
2020-09-03, I am only just pretending o hope you understand  love you!! Alice. https://youtu.be/DcFUzAgeChg22,
2020-09-03," So sir I have been borrowing your name just when I need to get a Coffee with my ex husbands phone number “Alice Trump”  as I am not for the New Australian Nazi rules, I hope you don’t mind . MASKShopping adventures with a  mask  I don’t suggest using a sharpie to write your msg  Definitely a higher chance of me dying of breathing in the i...youtube.com61941","['#PIZZAGATE', '#PIZZAGATE']"
2020-09-03,They are scared. They run ads to convince themselves! We don’t need to convince ourselves because we already know the truth. Don’t think about the ads. Do your thing! WIN!!!12,
2020-09-03,That’s how Biden will debate also.  He wants questions ahead and he will read the teleprompter. ,['#HidenBiden23']
2020-09-03,Charge them Domestic terrorism and send them to GITMOThere's plenty of room...Obama cleared it out for you3,
